Word,UniqueLetters,Score
ANGLO,5,12026
ANGRY,5,11248
ANGST,5,13476
ANILE,5,14928
ANILS,5,15094
ANIMA,4,13607
ANIME,5,13952
ANIMI,4,12445
ANION,4,13254
ANISE,5,16928
ANKHS,5,12375
ANKLE,5,13273
ANKUS,5,12887
ANLAS,4,16256
ANNAL,3,13949
ANNAS,3,15949
ANNEX,4,12199
ANNOY,4,12068
ANNUL,4,11908
ANOAS,4,16723
ANODE,5,14423
ANOLE,5,15068
ANOMY,5,11399
ANSAE,4,18090
ANTAE,4,16007
ANTAS,4,16173
ANTED,5,13873
ANTES,5,16518
ANTIC,5,12181
ANTIS,5,15011
ANTRA,4,14721
ANTRE,5,15066
ANTSY,5,13825
ANURA,4,14252
ANVIL,5,11271
ANYON,4,12068
AORTA,4,15495
APACE,4,14626
APART,4,14087
APEAK,4,14128
APEEK,4,14473
APERS,5,16515
APERY,5,13656
APHID,5,10751
APHIS,5,13396
APIAN,4,13642
APING,5,10945
APISH,5,13396
APNEA,4,15149
APODS,5,13955
APORT,5,13065
APPAL,3,12681
APPEL,4,13026
APPLE,4,13026
APPLY,4,10333
APRES,5,16515
APRON,5,12841
APSES,4,17967
APSIS,4,16460
APTER,5,14432
APTLY,5,11191
AQUAE,4,13613
AQUAS,4,13779
ARAKS,4,15783
ARAME,4,15969
ARBOR,4,13391
ARCED,5,13981
ARCHI,5,12055
ARCUS,5,14240
ARDEB,5,13565
ARDOR,4,13992
AREAE,3,18779
AREAL,4,16945
AREAS,4,18945
ARECA,4,16115
AREIC,5,14953
ARENA,4,16638
ARENE,4,16983
AREPA,4,16004
ARETE,4,17207
ARGAL,4,13903
ARGIL,5,12741
ARGLE,5,14248
ARGOL,5,12881
ARGON,5,12574
ARGOT,5,12798
ARGUE,5,13696
ARGUS,5,13862
ARHAT,4,13964
ARIAS,4,17438
ARIEL,5,15783
ARILS,5,15949
ARISE,5,17783
ARLES,5,17456
ARMED,5,13835
ARMER,4,15028
ARMET,5,14397
ARMOR,4,13661
AROID,5,13771
AROMA,4,14602
AROSE,5,17923
ARPEN,5,14208
ARRAS,3,17659
ARRAY,3,14800
ARRIS,4,16497
ARROW,4,13034
ARROZ,4,12570
ARSES,4,19456
ARSIS,4,17949
ARSON,5,15782
ARTAL,4,15028
ARTEL,5,15373
ARTSY,5,14680
ARUMS,5,14094
ARVAL,4,13288
ARVOS,5,14266
ARYLS,5,14763
ASANA,3,17745
ASCON,5,14404
ASCOT,5,14628
ASCUS,4,15692
ASDIC,5,13926
ASHED,5,15199
ASHEN,5,15537
ASHES,4,17844
ASIDE,5,16590
ASKED,5,14935
ASKER,5,16128
ASKEW,5,13977
ASKOI,5,14540
ASKOS,4,16213
ASPEN,5,15660
ASPER,5,16515
ASPIC,5,13630
ASPIS,4,16460
ASSAI,3,18890
ASSAY,3,17704
ASSES,3,20908
ASSET,4,18825
ASTER,5,17373
ASTIR,5,15866
ASURA,4,16559
ASWIM,5,12822
ASYLA,4,15704
ATAPS,4,15539
ATAXY,4,11526
ATIGI,4,12437
ATILT,4,13235
ATLAS,4,16480
ATMAN,4,13197
ATMAS,4,15504
ATOLL,4,13458
ATOMS,5,14482
ATOMY,5,11623
ATONE,5,14985
ATONY,5,12292
ATOPY,5,11658
ATRIA,4,15355
ATRIP,5,12925
ATTAR,3,14945
ATTIC,4,12405
AUDAD,3,12721
AUDIO,5,12671
AUDIT,5,12121
AUGER,5,13696
AUGHT,5,10167
AUGUR,4,11310
AULIC,5,12019
AUNTS,5,14132
AUNTY,5,11273
AURAE,4,16393
AURAL,4,14559
AURAR,3,15107
AURAS,4,16559
AUREI,5,15231
AURES,5,16904
AURIC,5,12567
AURIS,5,15397
AURUM,4,11542
AUTOS,5,14906
AUXIN,5,10447
AVAIL,4,13067
AVANT,4,12350
AVAST,4,14657
AVENS,5,14778
AVERS,5,15633
AVERT,5,13550
AVGAS,4,13532
AVIAN,4,12760
AVION,5,11738
AVISO,5,14045
AVOID,5,11400
AVOWS,5,12115
AWAIT,4,13204
AWAKE,4,13466
AWARD,4,12863
AWARE,4,15342
AWASH,4,13896
AWFUL,5,9336
AWING,5,10283
AWNED,5,12353
AWOKE,5,12444
AWOLS,5,13938
AXELS,5,14813
AXIAL,4,12795
AXILE,5,13140
AXILS,5,13306
AXING,5,9791
AXIOM,5,10797
AXION,5,11466
AXITE,5,13057
AXLED,5,12168
AXLES,5,14813
AXMAN,4,11185
AXMEN,5,11530
AXONE,5,12973
AXONS,5,13139
AYAHS,4,14640
AYAYA,2,14334
AYINS,5,14235
AZANS,4,14189
AZIDE,5,12523
AZIDO,5,11156
AZINE,5,12861
AZLON,5,11167
AZOIC,5,10971
AZOLE,5,13308
AZONS,5,13167
AZOTE,5,13225
AZOTH,5,10327
AZUKI,5,9454
AZURE,5,12837
BAAED,4,14506
BAALS,4,15317
BABAS,3,14071
BABEL,4,12416
BABES,4,14416
BABKA,3,10743
BABOO,3,11516
BABUL,4,10030
BABUS,4,12030
BACCA,3,11657
BACCY,4,9309
BACKS,5,11670
BACON,5,11158
BADDY,4,9679
BADGE,5,11809
BADLY,5,10324
BAFFS,4,10662
BAFFY,4,7803
BAGEL,5,12454
BAGGY,4,8553
BAHTS,5,12681
BAILS,5,14155
BAIRN,5,12396
BAITH,5,11008
BAITS,5,14072
BAIZA,4,11577
BAIZE,5,11922
BAKED,5,11689
BAKER,5,12882
BAKES,5,14334
BALAS,4,15317
BALDS,5,13183
BALDY,5,10324
BALED,5,13017
BALER,5,14210
BALES,5,15662
BALKS,5,12500
BALKY,5,9641
BALLS,4,13828
BALLY,4,10969
BALMS,5,12852
BALMY,5,9993
BALSA,4,15317
BALTI,5,12072
BANAL,4,13010
BANCO,5,11158
BANCS,5,12691
BANDA,4,12365
BANDS,5,12876
BANDY,5,10017
BANED,5,12710
BANES,5,15355
BANGS,5,12313
BANJO,5,9872
BANKS,5,12193
BANNS,4,13214
BANTY,5,10579
BARBE,4,12964
BARBS,4,13130
BARCA,4,13035
BARDE,5,13565
BARDS,5,13731
BARED,5,13565
BARER,4,14758
BARES,5,16210
BARFI,5,11120
BARFS,5,12793
BARGE,5,13002
BARIC,5,11873
BARKS,5,13048
BARKY,5,10189
BARMS,5,13400
BARMY,5,10541
BARNS,5,14069
BARNY,5,11210
BARON,5,12536
BARRE,4,14758
BARRY,4,12065
BARYE,5,13351
BASAL,4,15317
BASED,5,15017
BASER,5,16210
BASES,4,17662
BASIC,5,13325
BASIL,5,14155
BASIN,5,13848
BASIS,4,16155
BASKS,4,14500
BASSI,4,16155
BASSO,4,16295
BASSY,4,14969
BASTE,5,15579
BASTS,4,15745
BATCH,5,9851
BATED,5,12934
BATES,5,15579
BATHE,5,12515
BATHS,5,12681
BATIK,5,10744
BATON,5,11905
BATTS,4,13662
BATTU,4,11110
BATTY,4,10803
BAUDS,5,12631
BAULK,5,9948
BAWDS,5,11580
BAWDY,5,8721
BAWKS,5,10897
BAWLS,5,12225
BAWNS,5,11918
BAWTY,5,9283
BAYED,5,12158
BAYER,5,13351
BAYOU,5,10884
BAZAR,4,11798
BAZOO,4,10695
BEACH,5,11768
BEADS,5,15017
BEADY,5,12158
BEAKS,5,14334
BEAKY,5,11475
BEALS,5,15662
BEAMS,5,14686
BEAMY,5,11827
BEANO,5,13822
BEANS,5,15355
BEARD,5,13565
BEARS,5,16210
BEAST,5,15579
BEATS,5,15579
BEAUS,5,15110
BEAUT,5,13027
BEAUX,5,11015
BEBOP,4,10453
BECAP,5,11891
BECKS,5,12015
BEDAD,4,12372
BEDEL,4,13362
BEDEW,4,11759
BEDIM,5,10879
BEECH,4,12113
BEEDI,4,13689
BEEFS,4,14424
BEEFY,4,11565
BEEPS,4,15066
BEERS,4,16555
BEERY,4,13696
BEETS,4,15924
BEFIT,5,10834
BEFOG,5,9849
BEGAD,5,11809
BEGAN,5,12147
BEGAT,5,12371
BEGEM,4,11823
BEGET,4,12716
BEGIN,5,10985
BEGOT,5,11349
BEGUM,5,9437
BEGUN,5,10106
BEIGE,4,13126
BEIGY,5,10433
BEING,5,10985
BELAY,5,12803
BELCH,5,10279
BELGA,5,12454
BELIE,4,14334
BELLE,3,14007
BELLS,4,14173
BELLY,4,11314
BELON,5,12333
BELOW,5,11037
BELTS,5,14090
BEMAS,5,14686
BEMIX,5,9429
BENCH,5,9972
BENDS,5,13221
BENDY,5,10362
BENES,4,15700
BENNE,3,13393
BENNI,4,11886
BENNY,4,10700
BENTO,5,12250
BENTS,5,13783
BERET,4,14472
BERGS,5,13513
BERKS,5,13393
BERME,4,13579
BERMS,5,13745
BERRY,4,12410
BERTH,5,11574
BERYL,5,11862
BESES,3,18007
BESET,4,15924
BESOM,5,13664
BESOT,5,14557
BESTS,4,16090
BETAS,5,15579
