Word,UniqueLetters,Score
CESTA,5,15995
CESTI,5,14833
CETES,4,16340
CHADS,5,12535
CHAFE,5,11431
CHAFF,4,8014
CHAIN,5,11200
CHAIR,5,12055
CHAIS,5,13507
CHALK,5,9852
CHAMP,5,9263
CHAMS,5,12204
CHANA,4,12362
CHANG,5,9665
CHANT,5,10790
CHAOS,5,13647
CHAPE,5,12073
CHAPS,5,12239
CHAPT,5,10156
CHARD,5,11083
CHARE,5,13562
CHARK,5,10400
CHARM,5,10752
CHARR,4,12276
CHARS,5,13728
CHART,5,11645
CHARY,5,10869
CHASE,5,15014
CHASM,5,12204
CHATS,5,13097
CHAWS,5,11577
CHAYS,5,12321
CHEAP,5,12073
CHEAT,5,12931
CHECK,4,9367
CHEEK,4,12031
CHEEP,4,12418
CHEER,4,13907
CHEFS,5,11942
CHELA,5,13014
CHEMO,5,11016
CHEMS,5,12549
CHERT,5,11990
CHESS,4,15525
CHEST,5,13442
CHETH,4,10378
CHEVY,5,8843
CHEWS,5,11922
CHEWY,5,9063
CHIAO,5,11974
CHIAS,5,13507
CHICA,4,10677
CHICK,4,7860
CHICO,4,9655
CHICS,4,11188
CHIDE,5,11207
CHIEF,5,10269
CHIEL,5,11852
CHILD,5,9373
CHILE,5,11852
CHILI,4,10345
CHILL,4,10018
CHIMB,5,7796
CHIME,5,10876
CHIMP,5,8101
CHINA,5,11200
CHINE,5,11545
CHING,5,8503
CHINK,5,8383
CHINO,5,10178
CHINS,5,11711
CHIPS,5,11077
CHIRK,5,9238
CHIRM,5,9590
CHIRO,5,11033
CHIRP,5,9625
CHIRR,4,11114
CHIRU,5,10014
CHITS,5,11935
CHIVE,5,10029
CHIVY,5,7336
CHOCK,4,8000
CHOCS,4,11328
CHOIL,5,10485
CHOIR,5,11033
CHOKE,5,10664
CHOKY,5,7971
CHOLI,5,10485
CHOMP,5,8241
CHONS,5,11851
CHOOK,4,9297
CHOPS,5,11217
CHORD,5,10061
CHORE,5,12540
CHOSE,5,13992
CHOTT,4,9992
CHOWS,5,10555
CHUBS,5,9893
CHUCK,4,6981
CHUFA,5,9045
CHUFF,4,5973
CHUGS,5,9931
CHUMP,5,7222
CHUMS,5,10163
CHUNK,5,7504
CHURL,5,9687
CHURN,5,9380
CHURR,4,10235
CHUSE,5,12973
CHUTE,5,10890
CHYLE,5,10666
CHYME,5,9690
CIBOL,5,10303
CIDER,5,12819
CIGAR,5,11911
CIGGY,4,7807
CILIA,4,12898
CIMEX,5,9845
CINCH,4,8881
CINES,5,14609
CINQS,5,10543
CIONS,5,13242
CIRCA,4,12289
CIRCS,4,12800
CIRES,5,15464
CIRRI,3,12505
CISCO,4,12719
CISSY,4,14223
CISTS,4,14999
CITED,5,12188
CITER,5,13381
CITES,5,14833
CIVET,5,11010
CIVIC,3,8756
CIVIE,4,11420
CIVIL,4,9586
CIVVY,4,6577
CLACH,4,10350
CLACK,4,10086
CLADE,5,13433
CLADS,5,13599
CLAGS,5,13036
CLAIM,5,11595
CLAMP,5,10327
CLAMS,5,13268
CLANG,5,10729
CLANK,5,10609
CLANS,5,13937
CLAPS,5,13303
CLAPT,5,11220
CLARO,5,13259
CLARY,5,11933
CLASH,5,13180
CLASP,5,13303
CLASS,4,16244
CLAST,5,14161
CLAVE,5,12255
CLAVI,5,10748
CLAWS,5,12641
CLAYS,5,13385
CLEAN,5,13771
CLEAR,5,14626
CLEAT,5,13995
CLEEK,4,13095
CLEFS,5,13006
CLEFT,5,10923
CLEGS,5,13381
CLEPE,4,13482
CLEPT,5,11565
CLERK,5,11809
CLEWS,5,12986
CLICK,4,8924
CLIFF,4,7916
CLIFT,5,9416
CLIMB,5,8860
CLIME,5,11940
CLINE,5,12609
CLING,5,9567
CLINK,5,9447
CLIPS,5,12141
CLIPT,5,10058
CLITS,5,12999
CLOAK,5,11383
CLOCK,4,9064
CLODS,5,12577
CLOGS,5,12014
CLOMB,5,9000
CLOMP,5,9305
CLONE,5,12749
CLONK,5,9587
CLONS,5,12915
CLOOT,4,11606
CLOPS,5,12281
CLOSE,5,15056
CLOTH,5,10075
CLOTS,5,13139
CLOUD,5,10025
CLOUR,5,11218
CLOUT,5,10587
CLOVE,5,11233
CLOWN,5,9312
CLOYS,5,12363
CLOZE,5,10989
CLUBS,5,10957
CLUCK,4,8045
CLUED,5,11392
CLUES,5,14037
CLUMP,5,8286
CLUNG,5,8688
CLUNK,5,8568
CNIDA,5,11619
COACH,4,10817
COACT,4,11798
COADY,5,11207
COALA,4,14200
COALS,5,14711
COALY,5,11852
COAPT,5,11687
COAST,5,14628
COATI,5,12955
COATS,5,14628
COBBS,4,10730
COBBY,4,7871
COBIA,5,11792
COBLE,5,11810
COBRA,5,12013
COCAS,4,13881
COCCI,3,9889
COCKS,4,11064
COCKY,4,8205
COCOA,3,12348
COCOS,3,12859
CODAS,5,14066
CODEC,4,11581
CODED,4,11766
CODEN,5,12104
CODER,5,12959
CODES,5,14411
CODEX,5,10316
CODON,4,10737
COEDS,5,14411
COFFS,4,10056
COGON,4,10174
COHOE,4,12459
COHOG,4,9417
COHOS,4,12625
COIFS,5,11966
COIGN,5,10034
COILS,5,13549
COINS,5,13242
COIRS,5,14097
COKED,5,11083
COKES,5,13728
COLAS,5,14711
COLBY,5,9117
COLDS,5,12577
COLED,5,12411
COLES,5,15056
COLIC,4,10719
COLIN,5,11242
COLLY,4,10363
COLOG,4,10481
COLON,4,11382
COLOR,4,12237
COLTS,5,13139
COLZA,5,10644
COMAE,5,13569
COMAL,5,11735
COMAS,5,13735
COMBE,5,10834
COMBI,5,9327
COMBO,4,9467
COMBS,5,11000
COMER,5,12628
COMES,5,14080
COMET,5,11997
COMFY,5,7804
COMIC,4,9743
COMIX,5,8478
COMMA,4,10759
COMMO,3,9737
COMMS,4,11270
COMMY,4,8411
COMPO,4,9772
COMPS,5,11305
COMPT,5,9222
COMTE,5,11997
CONCH,4,9021
CONDO,4,10737
CONED,5,12104
CONES,5,14749
CONEY,5,11890
CONGA,5,11196
CONGE,5,11541
CONGO,4,10174
CONIC,4,10412
CONIN,4,10935
CONKS,5,11587
CONKY,5,8728
CONNS,4,12608
CONTE,5,12666
CONTO,4,11299
CONUS,5,12363
COOCH,3,9795
COOED,4,12878
COOEE,3,15357
COOER,4,14071
COOEY,4,12664
COOFS,4,12106
COOKS,4,12361
COOKY,4,9502
COOLS,4,13689
COOLY,4,10830
COOMB,4,9467
COONS,4,13382
COOPS,4,12748
COOPT,4,10665
COOTS,4,13606
COPAL,5,11770
COPAY,5,10911
COPED,5,11470
COPEN,5,11808
COPER,5,12663
COPES,5,14115
COPRA,5,12318
COPSE,5,14115
COPSY,5,11422
COQUI,5,8765
CORAL,5,13259
CORBY,5,9665
CORDS,5,13125
CORED,5,12959
CORER,4,14152
CORES,5,15604
CORGI,5,10889
CORIA,5,13586
CORKS,5,12442
CORKY,5,9583
CORMS,5,12794
CORNS,5,13463
CORNU,5,10911
CORNY,5,10604
CORPS,5,12829
CORSE,5,15604
COSEC,4,14226
COSES,4,17056
COSET,5,14973
COSEY,5,14197
COSIE,5,15383
COSTA,5,14628
COSTS,4,15139
COTAN,5,12321
COTED,5,12328
COTES,5,14973
COTTA,4,12545
COUCH,4,8776
COUDE,5,11859
COUGH,5,8398
COULD,5,10025
COUNT,5,10280
COUPE,5,11563
COUPS,5,11729
COURT,5,11135
COUTH,5,9523
COVED,5,10588
COVEN,5,10926
COVER,5,11781
COVES,5,13233
COVET,5,11150
COVEY,5,10374
COVIN,5,9419
COWED,5,10808
COWER,5,12001
COWLS,5,11619
COWRY,5,9308
COXAE,5,12450
COXAL,5,10616
COXED,5,10316
COXES,5,12961
COYAU,5,11300
COYED,5,11552
COYER,5,12745
COYLY,4,9504
COYPU,5,8870
COZEN,5,10682
COZES,5,12989
COZEY,5,10130
COZIE,5,11316
CRAAL,4,14281
CRABS,5,13546
CRACK,4,10634
CRAFT,5,11126
CRAGS,5,13584
CRAKE,5,13298
CRAMP,5,10875
CRAMS,5,13816
CRANE,5,14319
CRANK,5,11157
CRAPE,5,13685
CRAPS,5,13851
CRASH,5,13728
CRASS,4,16792
CRATE,5,14543
CRAVE,5,12803
CRAWL,5,11189
CRAWS,5,13189
CRAZE,5,12559
CRAZY,5,9866
CREAK,5,13298
CREAM,5,13650
CREDO,5,12959
CREDS,5,14492
CREED,4,14326
CREEK,4,13643
CREEL,4,14971
CREEP,4,14030
CREME,4,13995
CREPE,4,14030
CREPT,5,12113
CREPY,5,11337
CRESS,4,17137
CREST,5,15054
CREWS,5,13534
CRIBS,5,12384
CRICK,4,9472
CRIED,5,12819
CRIER,4,14012
CRIES,5,15464
CRIME,5,12488
CRIMP,5,9713
CRIPE,5,12523
CRISP,5,12689
CRITS,5,13547
CROAK,5,11931
CROCI,4,11267
CROCK,4,9612
CROCS,4,12940
CROFT,5,10104
CRONE,5,13297
CRONY,5,10604
CROOK,4,10909
CROON,4,11930
CROPS,5,12829
CRORE,4,14152
CROSS,4,15770
CROUP,5,10277
CROWD,5,9522
CROWN,5,9860
CROWS,5,12167
CROZE,5,11537
CRUCK,4,8593
CRUDE,5,11940
CRUDO,5,10573
CRUDS,5,12106
CRUEL,5,12585
CRUET,5,12502
CRUFT,5,9085
CRUMB,5,8529
CRUMP,5,8834
CRUNK,5,9116
CRUOR,4,11766
CRURA,4,12788
CRUSE,5,14585
CRUSH,5,11687
CRUST,5,12668
CRWTH,5,8553
CRYER,4,12826
CRYPT,5,9420
CUBBY,4,6852
CUBEB,4,9545
CUBED,5,10146
CUBER,5,11339
CUBES,5,12791
CUBIC,4,8454
CUBIT,5,9201
CUDDY,4,8054
CUFFS,4,9037
CUIFS,5,10947
CUING,5,9015
CUISH,5,11466
CUKES,5,12709
CULCH,4,8309
CULET,5,11954
CULEX,5,9942
CULLS,4,12203
CULLY,4,9344
CULMS,5,11227
CULPA,5,10751
CULTI,5,10447
CULTS,5,12120
CUMIN,5,9247
CUNIT,5,10140
CUPEL,5,11096
CUPID,5,8944
CUPPA,4,9810
CUPPY,4,7462
CURBS,5,11505
CURCH,4,8857
CURDS,5,12106
CURDY,5,9247
CURED,5,11940
CURER,4,13133
CURES,5,14585
CURET,5,12502
CURFS,5,11168
CURIA,5,12567
CURIE,5,12912
CURIO,5,11545
CURLS,5,12751
CURLY,5,9892
CURNS,5,12444
CURRS,4,13299
CURRY,4,10440
CURSE,5,14585
CURST,5,12668
CURVE,5,10762
CURVY,5,8069
CUSEC,4,13207
CUSHY,5,10280
CUSKS,4,12875
CUSPS,4,13262
CUSSO,4,14670
CUTCH,4,8226
CUTER,5,12502
CUTES,5,13954
CUTEY,5,11095
CUTIE,5,12281
CUTIN,5,10140
CUTIS,5,12447
CUTTY,4,9178
CUTUP,4,8627
CUVEE,4,12048
CUZES,5,11970
CYANO,5,11545
CYANS,5,13078
CYBER,5,11032
CYCAD,4,9910
CYCAS,4,12555
CYCLE,4,10900
CYCLO,4,9533
CYDER,5,11633
CYLIX,5,8128
CYMAE,5,12243
CYMAR,5,10957
CYMAS,5,12409
CYMES,5,12754
CYMOL,5,9387
CYNIC,4,9086
CYSTS,4,13813
CYTON,5,9973
CZARS,5,12725
DACES,5,15433
DACHA,4,12024
DADAS,3,15273
DADDY,3,10280
DADOS,4,14251
DAFFS,4,11263
DAFFY,4,8404
DAGGA,3,11502
DAHLS,5,13365
DAILY,5,11897
DAIRY,5,12445
DAISY,5,13897
DALES,5,16263
DALLY,4,11570
DAMAN,4,12635
DAMAR,4,13490
DAMES,5,15287
DAMNS,5,13146
DAMPS,5,12512
DANCE,5,13126
DANDY,4,10618
DANGS,5,12914
DANIO,5,12916
DARBS,5,13731
DARED,4,14166
DARER,4,15359
DARES,5,16811
DARIC,5,12474
DARKS,5,13649
DARNS,5,14670
DARTS,5,14894
DASHI,5,13692
DASHY,5,12506
DATED,4,13535
DATER,5,14728
DATES,5,16180
DATOS,5,14813
DATTO,4,12730
DATUM,5,10818
DAUBE,5,12465
DAUBS,5,12631
DAUBY,5,9772
DAUNT,5,11487
DAUTS,5,13794
DAVEN,5,12133
DAVIT,5,10850
DAWED,4,12015
DAWEN,5,12353
DAWKS,5,11498
DAWNS,5,12519
DAWTS,5,12743
DAZED,4,11551
DAZES,5,14196
DEADS,4,15618
DEAIR,5,15138
DEALS,5,16263
DEALT,5,14180
DEANS,5,15956
DEARS,5,16811
DEARY,5,13952
DEASH,5,15199
DEATH,5,13116
DEAVE,4,14274
DEBAG,5,11809
DEBAR,5,13565
DEBIT,5,11772
DEBTS,5,13445
DEBUG,5,9768
DEBUR,5,11524
DEBUT,5,10893
DEBYE,4,12503
DECAF,5,11850
DECAL,5,13433
DECAN,5,13126
DECAY,5,12574
DECKS,5,12616
DECOR,5,12959
DECOS,5,14411
DECOY,5,11552
DECRY,5,11633
DEDAL,4,13618
DEEDS,3,15963
DEEDY,3,13104
DEEMS,4,15632
DEEPS,4,15667
DEERS,4,17156
DEETS,4,16525
DEFAT,5,12597
DEFER,4,13573
DEFIS,5,13518
DEFOG,5,10450
DEGAS,5,15055
DEGUM,5,10038
DEICE,4,14105
DEIFY,5,10659
DEIGN,5,11586
DEILS,5,15101
DEISM,5,14125
DEIST,5,15018
DEITY,5,12159
DEKED,3,12635
DEKES,4,15280
DEKKO,4,10585
DELAY,5,13404
DELED,3,13963
DELES,4,16608
DELFS,5,13191
DELFT,5,11108
DELIS,5,15101
DELLS,4,14774
DELLY,4,11915
DELTA,5,14180
DELTS,5,14691
DELVE,4,12785
DEMES,4,15632
DEMIC,5,11295
DEMIT,5,12042
DEMOB,5,11019
DEMOI,5,12592
DEMON,5,11958
DEMOS,5,14265
DEMUR,5,11794
DENAR,5,14504
DENES,4,16301
DENIM,5,11818
DENSE,4,16301
DENTS,5,14384
DEOXY,5,10287
DEPOT,5,12217
DEPTH,5,10686
DERAT,5,14728
DERAY,5,13952
DERBY,5,11217
DERMA,5,13835
DERMS,5,14346
DERRY,4,13011
DESEX,4,14513
DESHI,5,14037
DESIS,4,17101
DESKS,4,15446
DETER,4,15073
DETOX,5,11063
DEUCE,4,13226
DEVAS,5,14440
DEVEL,4,12785
DEVIL,5,11278
DEVIS,5,13278
DEVON,5,11111
DEWAN,5,12353
DEWAR,5,13208
DEWAX,5,10565
DEWED,3,12360
DEXES,4,14513
DEXIE,4,12840
DHAKS,5,12037
DHALS,5,13365
DHIKR,5,9423
DHOBI,5,9424
DHOLE,5,12177
DHOLL,4,10343
DHOTI,5,10587
DHOWS,5,10740
DHUTI,5,9568
DIALS,5,14756
DIARY,5,12445
DIAZO,5,11156
DICED,4,11626
DICER,5,12819
DICES,5,14271
DICEY,5,11412
DICKS,5,11109
DICKY,5,8250
DICOT,5,10821
DICTA,5,11843
DICTY,5,9495
DIDIE,3,12783
DIDOS,4,13089
DIDST,4,12539
DIENE,4,14628
DIETS,5,15018
DIFFS,4,10101
DIGHT,5,8912
DIGIT,4,10303
DIKED,4,11128
DIKER,5,12321
DIKES,5,13773
DILDO,4,11089
DILLS,4,13267
DILLY,4,10408
DIMER,5,12673
DIMES,5,14125
DIMLY,5,9432
DINAR,5,12997
DINED,4,12149
DINER,5,13342
DINES,5,14794
DINGE,5,11586
DINGO,5,10219
DINGS,5,11752
DINGY,5,8893
DINKS,5,11632
DINKY,5,8773
DINOS,5,13427
DINTS,5,12877
DIODE,4,12923
DIOLS,5,13734
DIPPY,4,8526
DIPSO,5,12793
DIRAM,5,12328
DIRER,4,14197
DIRGE,5,12441
DIRKS,5,12487
DIRLS,5,13815
DIRTS,5,13732
DIRTY,5,10873
DISCI,4,12764
DISCO,5,12904
DISCS,4,14437
DISHY,5,11344
DISKS,4,13939
DISME,5,14125
DITAS,5,14673
DITCH,5,9290
DITES,5,15018
DITSY,5,12325
DITTO,4,11568
DITTY,4,10242
DITZY,5,8258
DIVAN,5,10626
DIVAS,5,12933
DIVED,4,10633
DIVER,5,11826
DIVES,5,13278
DIVOT,5,9828
DIVVY,4,6762
DIWAN,5,10846
DIXIT,4,9416
DIZEN,5,10727
DIZZY,4,6274
DJINN,4,8537
DJINS,5,10844
DOATS,5,14813
DOBBY,4,8056
DOBES,5,13995
DOBIE,5,12322
DOBLA,5,11650
DOBRA,5,12198
DOBRO,4,11176
DOCKS,5,11249
DODGE,4,11388
DODGY,4,8695
DODOS,3,13229
DOERS,5,15789
DOEST,5,15158
DOETH,5,12094
DOFFS,4,10241
DOGES,5,14033
DOGEY,5,11174
DOGGO,3,9458
DOGGY,4,8132
DOGIE,5,12360
DOGMA,5,10712
DOILY,5,10875
DOING,5,10219
DOITS,5,13651
DOJOS,4,11758
DOLCE,5,12411
DOLCI,5,10904
DOLED,4,12596
DOLES,5,15241
DOLLS,4,13407
DOLLY,4,10548
DOLMA,5,11920
DOLOR,4,12422
DOLTS,5,13324
DOMAL,5,11920
DOMED,4,11620
DOMES,5,14265
DOMIC,5,9928
DONAS,5,14589
DONEE,4,14768
DONGA,5,11381
DONGS,5,11892
DONNA,4,12282
DONNE,4,12627
DONOR,4,12115
DONSY,5,12241
DONUT,5,10465
DOOBS,4,12628
DOODY,3,10370
DOOLY,4,11015
DOOMS,4,12898
DOOMY,4,10039
DOORS,4,14422
DOOZY,4,8948
DOPAS,5,13955
DOPED,4,11655
DOPER,5,12848
DOPES,5,14300
DOPEY,5,11441
DORES,5,15789
DORKS,5,12627
DORKY,5,9768
DORMS,5,12979
DORMY,5,10120
DORPS,5,13014
DORRS,4,14503
DORSA,5,15444
DORTY,5,11013
DOSAI,5,15223
DOSAS,4,16896
DOSED,4,14596
DOSER,5,15789
DOSES,4,17241
DOSHA,5,13832
DOTAL,5,12813
DOTED,4,12513
DOTER,5,13706
DOTES,5,15158
DOTTY,4,10382
DOUBT,5,9526
DOUCE,5,11859
DOUGH,5,8583
DOULA,5,12344
DOUMA,5,11368
DOUMS,5,11879
DOURA,5,12892
DOUSE,5,14689
DOUTS,5,12772
DOVEN,5,11111
DOVES,5,13418
DOWDY,4,8300
DOWED,4,10993
DOWEL,5,11638
DOWER,5,12186
DOWIE,5,11965
DOWNS,5,11497
DOWNY,5,8638
DOWRY,5,9493
DOWSE,5,13638
DOXIE,5,11473
DOYEN,5,12075
DOYLY,4,9689
DOZED,4,10529
DOZEN,5,10867
DOZER,5,11722
DOZES,5,13174
DRABS,5,13731
DRAFF,4,9811
DRAFT,5,11311
DRAGS,5,13769
DRAIL,5,13304
DRAIN,5,12997
DRAKE,5,13483
DRAMA,4,13490
DRAMS,5,14001
DRANK,5,11342
DRAPE,5,13870
DRATS,5,14894
DRAVE,5,12988
DRAWL,5,11374
DRAWN,5,11067
DRAWS,5,13374
DRAYS,5,14118
DREAD,4,14166
DREAM,5,13835
DREAR,4,15359
DRECK,5,11164
DREED,3,14511
DREES,4,17156
DREGS,5,14114
DREKS,5,13994
DRESS,4,17322
DREST,5,15239
DRIBS,5,12569
DRIED,4,13004
DRIER,4,14197
DRIES,5,15649
DRIFT,5,10149
DRILL,4,11815
DRILY,5,10956
DRINK,5,10180
DRIPS,5,12874
DRIPT,5,10791
DRIVE,5,11826
DROID,4,11637
DROIT,5,12199
DROKE,5,12461
DROLL,4,11955
DRONE,5,13482
DROOL,4,12422
DROOP,4,11481
DROPS,5,13014
DROPT,5,10931
DROSS,4,15955
DROUK,5,10075
DROVE,5,11966
DROWN,5,10045
DRUBS,5,11690
DRUGS,5,11728
DRUID,4,10618
DRUMS,5,11960
DRUNK,5,9301
DRUPE,5,11829
DRUSE,5,14770
DRYAD,4,11473
DRYAS,5,14118
DRYER,4,13011
DRYLY,4,9770
DUADS,4,13232
DUALS,5,13877
DUCAL,5,11047
DUCAT,5,10964
DUCES,5,13392
DUCHY,5,7635
DUCKS,5,10230
DUCKY,5,7371
DUCTS,5,11475
DUDDY,3,8239
DUDED,3,10932
DUDES,4,13577
DUELS,5,14222
DUETS,5,14139
DUFFS,4,9222
DUFUS,4,10253
DUITS,5,12632
DUKED,4,10249
DUKES,5,12894
DULCE,5,11392
DULIA,5,12204
DULLS,4,12388
DULLY,4,9529
DULSE,5,14222
DUMAS,5,12901
DUMBO,5,8633
DUMBS,5,10166
DUMKA,5,9573
DUMKY,5,7225
DUMMY,4,7577
DUMPS,5,10471
DUMPY,5,7612
DUNAM,5,10594
DUNCE,5,11085
DUNCH,5,8187
DUNES,5,13915
DUNGS,5,10873
DUNGY,5,8014
DUNKS,5,10753
DUNNO,4,10241
DUNTS,5,11998
DUOMI,5,10206
DUOMO,4,10346
DUPED,4,10636
DUPER,5,11829
DUPES,5,13281
DUPLE,5,11281
DURAL,5,12425
DURAS,5,14425
DURED,4,12125
DURES,5,14770
DURNS,5,12629
DUROC,5,10573
DUROS,5,13403
DURRA,4,12973
DURRS,4,13484
DURST,5,12853
DURUM,4,9408
DUSKS,4,13060
DUSKY,5,10201
DUSTS,4,14305
DUSTY,5,11446
DUTCH,5,8411
DUVET,5,10316
DWALE,5,12660
DWARF,5,9791
DWEEB,4,11759
DWELL,4,11171
DWELT,5,11088
DWINE,5,11191
DYADS,4,12925
DYERS,5,14463
DYING,5,8893
DYKED,4,9942
DYKES,5,12587
DYNEL,5,11608
DYNES,5,13608
EAGER,4,16082
EAGLE,4,15534
EAGRE,4,16082
EARED,4,16645
EARLS,5,17456
EARLY,5,14597
EARNS,5,17149
EARTH,5,14309
EASED,4,18097
EASEL,4,18742
EASER,4,19290
EASES,3,20742
EASTS,4,18825
EATEN,4,16352
EATER,4,17207
EAVED,4,14274
EAVES,4,16919
EBBED,3,12116
EBBET,3,12678
EBONS,5,14333
EBONY,5,11474
EBOOK,4,11779
ECHED,4,12714
ECHES,4,15359
ECHOS,5,13992
ECLAT,5,13995
ECRUS,5,14585
EDEMA,4,15121
EDGED,3,12755
EDGER,4,13948
EDGES,4,15400
EDICT,5,12188
EDIFY,5,10659
EDILE,4,14935
EDITS,5,15018
EDUCE,4,13226
EDUCT,5,11309
EEJIT,4,13381
EENSY,4,16087
EERIE,3,17962
EGADS,5,15055
EGERS,4,16593
EGEST,4,15962
EGGAR,4,13040
EGGED,3,12192
EGGER,3,13385
EGRET,4,14510
EIDER,4,15483
EIDOS,5,15568
EIGHT,5,11391
EIKON,5,12578
EJECT,4,12224
EJIDO,5,11452
EKING,5,10903
EKKAS,4,14252
ELAIN,5,14928
ELAND,5,13956
ELANS,5,16601
ELATE,4,16659
ELBOW,5,11037
ELDER,4,15156
ELECT,4,14340
ELEGY,4,13186
ELEMI,4,14604
ELFIN,5,11856
ELIDE,4,14935
ELINT,5,13356
ELITE,4,15497
ELOIN,5,13906
ELOPE,4,14779
ELUDE,4,14056
ELUTE,4,14618
ELVEN,4,13123
ELVER,4,13978
ELVES,4,15430
EMAIL,5,14259
EMBAR,5,13234
EMBAY,5,11827
EMBED,4,12386
EMBER,4,13579
EMBOW,5,10061
EMCEE,3,15281
EMEER,3,16659
EMEND,4,13325
EMERG,4,13617
EMERY,4,13966
EMEUS,4,15725
EMICS,5,13940
EMIRS,5,15318
EMITS,5,14687
EMMER,3,13849
EMMET,3,13218
EMMYS,4,12608
EMOJI,5,11121
EMOTE,4,14661
EMPTY,5,10560
EMYDE,4,12773
EMYDS,5,12939
ENACT,5,13688
ENATE,4,16352
ENDED,3,13656
ENDER,4,14849
ENDOW,5,11331
ENDUE,4,13749
ENEMA,4,15459
ENEMY,4,13111
ENJOY,5,10604
ENNUI,4,12580
ENOKI,5,12578
ENOLS,5,15579
ENORM,5,13151
ENOWS,5,13976
ENROL,5,14127
ENSKY,5,12925
ENSUE,4,16394
ENTER,4,15411
ENTIA,5,14845
ENTRY,5,12718
ENURE,4,14942
ENVOI,5,12083
ENVOY,5,10897
ENZYM,5,9210
EOSIN,5,15906
EPACT,5,13054
EPEES,3,18146
EPHAH,4,11839
EPHAS,5,14903
EPHOD,5,11236
EPHOR,5,12429
EPICS,5,13975
EPOCH,5,11051
EPODE,4,14134
EPOXY,5,9991
EQUAL,5,12124
EQUES,4,14469
EQUID,5,10317
EQUIP,5,10021
ERASE,4,19290
ERECT,4,14888
ERGOT,5,13143
ERICA,5,14953
ERNES,4,17494
ERODE,4,15623
EROSE,4,18268
ERRED,3,15704
ERROR,3,15530
ERSES,3,19801
ERUCT,5,12502
ERUGO,5,12674
ERUPT,5,12391
ERUVS,5,13592
ERVIL,5,12471
ESCAR,5,16626
ESCOT,5,14973
ESKAR,5,16128
ESKER,4,16473
ESNES,3,18946
ESSAY,4,18049
ESSES,2,21253
ESTER,4,17718
ESTOP,5,14862
ETAPE,4,15718
ETHER,4,14654
ETHIC,5,11769
ETHOS,5,14739
ETHYL,5,11413
ETICS,5,14833
ETNAS,5,16518
ETUDE,4,13973
ETUIS,5,15111
ETWEE,3,15401
ETYMA,5,12990
EUROS,5,15882
EVADE,4,14274
EVENS,4,15123
EVENT,4,13040
EVERT,4,13895
EVERY,4,13119
EVICT,5,11010
EVILS,5,13923
EVITE,4,13674
EVOKE,4,12569
EWERS,4,16198
EXACT,5,11900
EXALT,5,12730
EXAMS,5,13837
EXCEL,4,12328
EXECS,4,14328
EXERT,4,13623
EXILE,4,13485
EXINE,4,13178
EXING,5,10136
EXIST,5,13568
EXITS,5,13568
EXOME,4,12649
EXONS,5,13484
EXPAT,5,11789
EXPEL,4,12217
EXPOS,5,12850
EXTOL,5,11708
EXTRA,5,13278
EXUDE,4,11961
EXULT,5,10689
EXURB,5,10074
EYASS,4,18049
EYERS,4,16942
EYING,5,11372
EYRAS,5,16597
EYRES,4,16942
EYRIE,4,15269
EYRIR,4,13983
FABLE,5,12079
FACED,5,11850
FACER,5,13043
FACES,5,14495
FACET,5,12412
FACIA,4,12477
FACTA,4,12067
FACTS,5,12578
FADDY,4,9342
FADED,4,12035
FADER,5,13228
FADES,5,14680
FADGE,5,11472
FADOS,5,13313
FAENA,4,14507
FAERY,5,13014
FAFFS,3,10325
FAGIN,5,10303
FAGOT,5,10667
FAILS,5,13818
FAINT,5,11428
FAIRS,5,14366
FAIRY,5,11507
FAITH,5,10671
FAKED,5,11352
FAKER,5,12545
FAKES,5,13997
FAKEY,5,11138
FAKIE,5,12324
FAKIR,5,11038
FALLS,4,13491
FALSE,5,15325
FAMED,5,11704
FAMES,5,14349
FANCY,5,9495
FANES,5,15018
FANGA,4,11465
FANGS,5,11976
FANNY,4,10018
FANON,4,11344
FANOS,5,13651
FANUM,5,9656
FAQIR,5,10134
FARAD,4,12883
FARCE,5,13043
FARCI,5,11536
FARCY,5,10350
FARDS,5,13394
FARED,5,13228
FARER,4,14421
FARES,5,15873
FARLE,5,13873
FARLS,5,14039
FARMS,5,13063
FAROS,5,14506
FARRO,4,13054
FARTS,5,13956
FASTS,4,15408
FATAL,4,12897
FATED,5,12597
FATES,5,15242
FATLY,5,10549
FATSO,5,13875
FATTY,4,10466
FATWA,4,11294
FAUGH,5,8667
FAULD,5,10294
FAULT,5,10856
FAUNA,4,12121
FAUNS,5,12632
FAUVE,5,10950
FAVAS,4,13157
FAVES,5,13502
FAVOR,5,10683
FAVUS,5,11116
FAWNS,5,11581
FAWNY,5,8722
FAXED,5,10585
FAXES,5,13230
FAYED,5,11821
FAZED,5,10613
FAZES,5,13258
FEARS,5,15873
FEASE,4,17159
FEAST,5,15242
FEATS,5,15242
FEAZE,4,13092
FECAL,5,12495
FECES,4,14840
FECKS,5,11678
FEDEX,4,10930
FEEBS,4,14424
FEEDS,4,15025
FEELS,4,15670
FEEZE,3,13437
FEIGN,5,10648
FEINT,5,11773
FEIST,5,14080
FELID,5,11518
FELLA,4,13325
FELLS,4,13836
FELLY,4,10977
FELON,5,11996
FELTS,5,13753
FELTY,5,10894
FEMES,4,14694
FEMME,3,11718
FEMUR,5,10856
FENCE,4,12533
FENDS,5,12884
FENNY,4,10363
